frame,t_s,tfl_c,tfl_roll_sp,tfl_pitch_sp,tfl_yaw_sp,pt_c,pt_roll_sp,pt_pitch_sp,pt_yaw_sp
46,0.14469430188679247,9.947036,0.009504378,0.024601072,-1.574837,9.944617,0.0094772875,0.024666935,-1.5753566
47,0.14783983018867924,9.968665,0.012720376,0.030232131,-1.5728655,9.9665365,0.012654841,0.03028974,-1.5733453
48,0.15098535849056605,9.960395,0.0145974755,0.026124328,-1.5727022,9.958215,0.014549613,0.026189685,-1.5731908
49,0.15413088679245285,9.9406185,0.010323495,0.02199313,-1.5730224,9.937913,0.0103003085,0.02208358,-1.5735103
50,0.15727641509433962,9.974602,0.0046640635,0.018076926,-1.5737519,9.971656,0.0046691,0.018158585,-1.574251
51,0.16042194339622642,9.951135,0.0061243474,0.020558149,-1.5730376,9.948145,0.006118804,0.020633489,-1.5735334
52,0.16356747169811323,9.832851,0.01643604,0.03043899,-1.5709755,9.831025,0.01635629,0.0305188,-1.5714854
53,0.166713,10.03922,0.013060868,0.037724018,-1.5592928,10.036518,0.01305899,0.037776917,-1.5597984
54,0.1698585283018868,9.701453,0.025723308,0.037141204,-1.5469375,9.700312,0.025630116,0.03715548,-1.5474681
55,0.1730040566037736,9.431439,0.030780911,0.039610863,-1.5322223,9.430718,0.030692816,0.039633393,-1.5327312
56,0.17614958490566038,9.359582,0.043298334,0.050006807,-1.5239096,9.359406,0.043165505,0.050026864,-1.5243934
57,0.17929511320754718,9.425192,0.050638586,0.048325956,-1.5173085,9.426086,0.050435305,0.04833564,-1.5178407
58,0.18244064150943398,9.38264,0.036310077,0.042639643,-1.5245023,9.383079,0.036135167,0.04265812,-1.5250291
59,0.18558616981132076,9.516087,0.029519737,0.039546132,-1.5325322,9.515585,0.029355079,0.03956768,-1.5330385
60,0.18873169811320756,9.416872,0.03131485,0.04181716,-1.5274248,9.415293,0.031175047,0.041844934,-1.5279027
61,0.19187722641509436,8.95225,0.054725885,0.04677254,-1.5121114,8.952534,0.05459717,0.046756208,-1.5126039
