frame,t_s,tfl_vx,tfl_vy,tfl_vz,tfl_yaw,pt_vx,pt_vy,pt_vz,pt_yaw
44,0.13840324528301887,0.11766517,-0.18708777,-0.14644003,0.07887405,0.117688775,-0.18683803,-0.14645082,0.078915805
45,0.14154877358490567,0.11532259,-0.18685079,-0.14529169,0.0792478,0.11528432,-0.1865682,-0.14530659,0.07932052
46,0.14469430188679247,0.1305114,-0.18733943,-0.14552546,0.07844421,0.1304177,-0.18694901,-0.14559591,0.07849729
47,0.14783983018867924,0.08244729,-0.18618262,-0.12426692,0.08778638,0.0821476,-0.18579578,-0.12434554,0.08786476
48,0.15098535849056605,0.06343305,-0.18194789,-0.11773139,0.08872625,0.063063025,-0.18151236,-0.117854714,0.088846505
49,0.15413088679245285,0.06444919,-0.17108166,-0.12200433,0.08325976,0.06411791,-0.17065799,-0.12209934,0.08338624
50,0.15727641509433962,0.07315397,-0.16659331,-0.13717079,0.08188921,0.07297385,-0.16627061,-0.13725084,0.08196807
51,0.16042194339622642,0.09334993,-0.16740364,-0.14712739,0.08326349,0.09321654,-0.16714483,-0.14720249,0.08335897
52,0.16356747169811323,0.13000667,-0.18676805,-0.14966589,0.08318493,0.1298945,-0.18653393,-0.14975101,0.08333132
53,0.166713,0.12203026,-0.21487093,-0.14088929,0.09162587,0.12174797,-0.21457398,-0.1409173,0.09174168
54,0.1698585283018868,0.10458028,-0.16901171,-0.15052009,0.1245105,0.104417086,-0.16860628,-0.15062785,0.12454125
55,0.1730040566037736,0.12031424,-0.108854055,-0.170295,0.12413162,0.11968994,-0.10859132,-0.17046571,0.12421274
56,0.17614958490566038,0.15704441,-0.11981094,-0.16185069,0.14190331,0.15636992,-0.11961043,-0.16207814,0.14208356
57,0.17929511320754718,0.16271675,-0.11040914,-0.15511644,0.14989644,0.16185331,-0.11027753,-0.15535569,0.14997658
58,0.18244064150943398,0.18048513,-0.11562097,-0.14432514,0.1413016,0.17980874,-0.11553484,-0.14441663,0.14130288
59,0.18558616981132076,0.15519714,-0.10055059,-0.14208937,0.13497055,0.15460956,-0.10037321,-0.14223313,0.13508546
60,0.18873169811320756,0.15427542,-0.106514335,-0.14065826,0.1546413,0.15362287,-0.10627699,-0.14082325,0.15463719
61,0.19187722641509436,0.16654503,-0.1176216,-0.15033215,0.17480075,0.1659261,-0.11741257,-0.15043855,0.17477733
62,0.19502275471698113,0.16779757,-0.090311944,-0.15978664,0.18447268,0.16728663,-0.09017801,-0.15986389,0.18438384
63,0.19816828301886794,0.19105506,-0.0779742,-0.13619506,0.19232807,0.19047308,-0.07786703,-0.13633156,0.19226384
64,0.20131381132075474,0.20134115,-0.063634336,-0.14048481,0.20408273,0.20083511,-0.06349945,-0.14064097,0.204
65,0.2044593396226415,0.14608169,-0.06344426,-0.15404904,0.25641906,0.14571023,-0.063325346,-0.1541816,0.25628585
66,0.2076048679245283,0.13413954,-0.06286585,-0.15411425,0.27259964,0.1337179,-0.06276947,-0.15422565,0.27240425
67,0.21075039622641512,0.092819095,-0.061785758,-0.16049737,0.2770002,0.09243441,-0.061681747,-0.16063178,0.2768582
68,0.2138959245283019,0.10087454,-0.050444245,-0.16550648,0.30004883,0.10052276,-0.050334632,-0.16563052,0.3
69,0.2170414528301887,0.07959151,-0.048010945,-0.15924364,0.2875476,0.07922268,-0.04791242,-0.15936947,0.28736693
70,0.2201869811320755,0.10406363,-0.04387504,-0.16718733,0.2694074,0.10367024,-0.043776035,-0.16728055,0.26917
71,0.22333250943396227,0.11057842,-0.052764714,-0.14000684,0.24448717,0.11010432,-0.052616,-0.14010388,0.24429464
72,0.22647803773584907,0.10454774,-0.050992787,-0.12908304,0.23181248,0.10404265,-0.050826073,-0.12917423,0.23166728
73,0.22962356603773587,0.13211608,-0.053444862,-0.1271317,0.23649967,0.13163686,-0.053312242,-0.12725854,0.23632008
74,0.23276909433962265,0.16131663,-0.06077504,-0.12810147,0.2192856,0.16083264,-0.06063658,-0.12822896,0.21911168
75,0.23591462264150945,0.18114197,-0.05622089,-0.14108181,0.2105481,0.18063176,-0.056060255,-0.14120162,0.21049857
76,0.23906015094339625,0.17749321,-0.049080253,-0.14798611,0.20416874,0.17708135,-0.048911273,-0.14808547,0.20410848
77,0.24220567924528302,0.17691112,-0.049701095,-0.13783991,0.19634336,0.17644286,-0.049542904,-0.13792431,0.19629991
78,0.24535120754716983,0.2139647,-0.059081376,-0.14543974,0.21039355,0.21349978,-0.058927,-0.14552021,0.21031493
79,0.24849673584905663,0.1932342,-0.052560925,-0.14656854,0.21657443,0.19275618,-0.05238861,-0.14662927,0.21648967
80,0.25164226415094343,0.2042892,-0.04292804,-0.14538956,0.21287102,0.20381331,-0.04276836,-0.14545417,0.21277672
81,0.2547877924528302,0.21235573,-0.044825792,-0.14109194,0.2070955,0.21188986,-0.044667006,-0.14117807,0.20701498
82,0.257933320754717,0.20856965,-0.045405924,-0.13866764,0.20630938,0.20811892,-0.045232475,-0.13875061,0.20621395
83,0.2610788490566038,0.20042646,-0.056533813,-0.1561917,0.22382522,0.19996297,-0.056324422,-0.15627807,0.22372723
84,0.2642243773584906,0.18203604,-0.047825515,-0.13251823,0.21023786,0.18160164,-0.04763645,-0.13261747,0.21015614
85,0.2673699056603774,0.19438338,-0.053380728,-0.11507058,0.20027888,0.19387329,-0.05324471,-0.115219295,0.20012712
86,0.2705154339622642,0.1974318,-0.058845997,-0.1357215,0.19001734,0.19691718,-0.058708012,-0.1358347,0.18994674
87,0.27366096226415093,0.1710639,-0.07105249,-0.14919746,0.18132466,0.17055702,-0.07092857,-0.14929682,0.18122533
88,0.27680649056603773,0.15959167,-0.06724566,-0.13606292,0.17364132,0.15922868,-0.067126036,-0.13612157,0.17358762
89,0.27995201886792453,0.16776764,-0.069867015,-0.12346381,0.15688443,0.16743565,-0.06971383,-0.12351149,0.15681362
90,0.28309754716981134,0.22154117,-0.054454923,-0.12872994,0.1403355,0.22125173,-0.054237843,-0.12878197,0.140297
91,0.28624307547169814,0.2387315,-0.06471795,-0.12767613,0.1349675,0.23841703,-0.064533114,-0.12770975,0.1349155
92,0.28938860377358494,0.21976054,-0.064427674,-0.12966937,0.15045324,0.21951842,-0.06428599,-0.12971526,0.15035203
93,0.2925341320754717,0.16673696,-0.08680123,-0.110192776,0.16324925,0.16650677,-0.08658844,-0.11021167,0.1631279
94,0.2956796603773585,0.17069578,-0.09760803,-0.1193254,0.16373813,0.17051423,-0.09750283,-0.11933762,0.16361982
95,0.2988251886792453,0.17591059,-0.13603824,-0.089918554,0.13936877,0.17578125,-0.13588029,-0.08990663,0.13932246
96,0.3019707169811321,0.15208435,-0.16754305,-0.04747653,0.123063564,0.15194356,-0.16737568,-0.047519207,0.12302405
97,0.3051162452830189,0.16226327,-0.17124856,-0.05894661,0.12348065,0.16215312,-0.17105812,-0.058979273,0.12342885
98,0.3082617735849057,0.17868972,-0.1761663,-0.06102419,0.11155647,0.17854774,-0.17595714,-0.06106037,0.111525476
99,0.31140730188679244,0.19483018,-0.1717431,-0.10103327,0.11197114,0.19461787,-0.17151588,-0.10111356,0.11197162
100,0.31455283018867924,0.20788312,-0.18750727,-0.08395666,0.10471439,0.20768273,-0.18725109,-0.08402938,0.10471147
101,0.31769835849056605,0.23492265,-0.2064876,-0.09524709,0.11309716,0.23479152,-0.20622927,-0.09530038,0.11304587
102,0.32084388679245285,0.23255718,-0.2061038,-0.10283339,0.11201048,0.23246074,-0.20592195,-0.1028406,0.11207569
103,0.32398941509433965,0.21968186,-0.20446968,-0.10436189,0.11713952,0.21959102,-0.2042638,-0.10439783,0.117201805
104,0.32713494339622645,0.23276758,-0.21265858,-0.09746158,0.117589414,0.23256052,-0.21241236,-0.09753722,0.11755717
105,0.3302804716981132,0.19873881,-0.19711328,-0.09279472,0.11679742,0.19855177,-0.1968674,-0.092865765,0.11676848
106,0.333426,0.19983709,-0.20582443,-0.09085065,0.11308247,0.19963896,-0.20557845,-0.09092015,0.11304748
107,0.3365715283018868,0.1983484,-0.20644885,-0.09308189,0.113330364,0.1981492,-0.2062037,-0.09315467,0.113286436
108,0.3397170566037736,0.20358443,-0.20308393,-0.087865174,0.11868423,0.2033751,-0.2028147,-0.08794677,0.118637025
109,0.3428625849056604,0.19833076,-0.19415879,-0.08631301,0.10519424,0.19808078,-0.19388634,-0.086381614,0.10515049
110,0.3460081132075472,0.21271014,-0.19124073,-0.09478909,0.09273958,0.21258521,-0.19101608,-0.09482211,0.09277964
111,0.34915364150943395,0.20665836,-0.20130467,-0.10757196,0.09842649,0.20652843,-0.2011118,-0.10755223,0.098465085
112,0.35229916981132076,0.1910919,-0.21124142,-0.1020183,0.09658763,0.19103467,-0.21099246,-0.10203564,0.09666106
113,0.35544469811320756,0.19515264,-0.22949797,-0.113643646,0.10384548,0.19508386,-0.22921455,-0.11363232,0.10389435
114,0.35859022641509436,0.19655156,-0.21874022,-0.15217918,0.11404738,0.19649458,-0.21858656,-0.1521126,0.11407477
115,0.36173575471698116,0.17599177,-0.25531602,-0.12914336,0.1258609,0.17593312,-0.2551393,-0.12909138,0.12586325
116,0.36488128301886796,0.19372654,-0.27534485,-0.13945079,0.14260924,0.19372177,-0.2751838,-0.13943881,0.14259917
117,0.3680268113207547,0.1682235,-0.3145209,-0.12048674,0.12815756,0.16818464,-0.31434005,-0.120512724,0.12804261
118,0.3711723396226415,0.16154063,-0.31652153,-0.11226112,0.11298999,0.16151047,-0.3163116,-0.112315536,0.11288148
119,0.3743178679245283,0.18192554,-0.30499363,-0.12208676,0.11956555,0.18193173,-0.3047729,-0.12213546,0.11944014
120,0.3774633962264151,0.22567952,-0.28778934,-0.13870144,0.13630283,0.2257036,-0.28761303,-0.13875186,0.13610989
121,0.3806089245283019,0.21084058,-0.27669668,-0.14107776,0.1355707,0.21088457,-0.27645743,-0.14113349,0.13539973
122,0.3837544528301887,0.20696712,-0.26777887,-0.14170623,0.13428345,0.20695972,-0.2675286,-0.1417607,0.1341579
123,0.38689998113207547,0.20599198,-0.26706642,-0.13714474,0.1305846,0.20599341,-0.26680028,-0.13724458,0.13047862
124,0.39004550943396227,0.18973875,-0.26543558,-0.13610095,0.12697473,0.1897273,-0.2651366,-0.13619769,0.1268569
125,0.39319103773584907,0.18512607,-0.27027816,-0.13257396,0.12416574,0.1850872,-0.26996613,-0.13266408,0.124049485
126,0.39633656603773587,0.17681754,-0.27146494,-0.1251899,0.1231032,0.17694521,-0.2711612,-0.12520534,0.123140156
127,0.3994820943396227,0.17827833,-0.26809937,-0.12324089,0.12274596,0.1782422,-0.2677747,-0.12329954,0.122592986
128,0.4026276226415095,0.18268538,-0.2677951,-0.12336695,0.121243596,0.18259859,-0.2674706,-0.12342358,0.12109691
129,0.4057731509433962,0.1868012,-0.25833744,-0.12662446,0.11486843,0.18676436,-0.2580651,-0.12669891,0.11474961
130,0.408918679245283,0.18200374,-0.23807663,-0.13558733,0.11414057,0.18205667,-0.23784572,-0.13555759,0.11418894
131,0.4120642075471698,0.19110513,-0.22558361,-0.14084435,0.10926014,0.1911515,-0.22535431,-0.14082062,0.10935736
132,0.4152097358490566,0.19218493,-0.2249738,-0.1436714,0.108618766,0.19225931,-0.22474575,-0.1436637,0.10869315
133,0.41835526415094343,0.1884036,-0.2327311,-0.1426152,0.112948954,0.18844903,-0.23252177,-0.14259118,0.11304507
134,0.42150079245283023,0.17235124,-0.23668355,-0.14188534,0.1170015,0.17232704,-0.23641151,-0.14188892,0.117114544
135,0.424646320754717,0.17778337,-0.24579114,-0.14817351,0.112546444,0.17784095,-0.24554175,-0.14818597,0.11260831
136,0.4277918490566038,0.19208574,-0.23122472,-0.16170019,0.11559296,0.19204485,-0.23100418,-0.16168296,0.1155971
137,0.4309373773584906,0.21458256,-0.23136091,-0.16734767,0.108911395,0.21448445,-0.23109597,-0.16733217,0.1088953
138,0.4340829056603774,0.19803274,-0.23282748,-0.16546452,0.11300534,0.19796658,-0.23256814,-0.16547894,0.1130251
139,0.4372284339622642,0.18964112,-0.23582333,-0.16154957,0.118098915,0.18965304,-0.23556519,-0.16155809,0.11814043
140,0.440373962264151,0.18352556,-0.23062134,-0.15167016,0.11104542,0.18361068,-0.23041975,-0.15168428,0.11110574
141,0.44351949056603773,0.17546654,-0.23122704,-0.14839649,0.1130375,0.17554247,-0.23102015,-0.14842808,0.113085896
142,0.44666501886792453,0.185915,-0.2283231,-0.14855707,0.107681006,0.18594396,-0.22813165,-0.14859045,0.10773569
143,0.44981054716981134,0.19254649,-0.22655082,-0.15812564,0.10463318,0.19252968,-0.22629571,-0.15816033,0.10467428
144,0.45295607547169814,0.1948371,-0.21646643,-0.1620326,0.10592002,0.19479883,-0.21619827,-0.16208857,0.10592255
145,0.45610160377358494,0.18995392,-0.2058819,-0.15462601,0.10409784,0.18988657,-0.20560622,-0.15467334,0.1040937
146,0.45924713207547174,0.20540178,-0.20741224,-0.15346038,0.103511184,0.20527983,-0.20710832,-0.15349865,0.10348469
147,0.4623926603773585,0.21096957,-0.19716358,-0.14096713,0.09498322,0.21084368,-0.19682372,-0.141016,0.09493977
148,0.4655381886792453,0.22520614,-0.19078547,-0.1361084,0.083086014,0.22501111,-0.19048822,-0.13615972,0.08295202
149,0.4686837169811321,0.2450676,-0.18473625,-0.120768905,0.08467165,0.24480057,-0.18446285,-0.12085253,0.08456457
150,0.4718292452830189,0.2135191,-0.17324454,-0.097697616,0.09833771,0.21321058,-0.17290843,-0.09780455,0.098252386
151,0.4749747735849057,0.24498403,-0.16263807,-0.07664144,0.071792185,0.24449909,-0.16233659,-0.076793134,0.07185888
152,0.4781203018867925,0.22359753,-0.110480905,-0.098193765,0.07689476,0.22313464,-0.11029643,-0.09835404,0.077014476
153,0.48126583018867924,0.2167263,-0.073640704,-0.0806275,0.09364882,0.21637249,-0.07349563,-0.08074653,0.09360862
154,0.48441135849056605,0.27007437,-0.021005452,-0.109698355,0.082775116,0.26984322,-0.02081579,-0.10985249,0.082769096
155,0.48755688679245285,0.31211126,0.017769098,-0.100813985,0.08877939,0.3116418,0.017945051,-0.100952744,0.08863741
156,0.49070241509433965,0.32017434,0.023706675,-0.107507825,0.07419351,0.31961,0.02401805,-0.10763502,0.07394618
157,0.49384794339622645,0.27398014,0.021120667,-0.13488996,0.09750819,0.2732885,0.021548629,-0.13509673,0.09743321
158,0.49699347169811325,0.24727929,0.056111813,-0.14071548,0.117470026,0.24668694,0.056390285,-0.1408019,0.11729169
159,0.500139,0.20615828,0.10197818,-0.13159949,0.11037907,0.20550132,0.10224855,-0.13181746,0.110250086
160,0.5032845283018869,0.14758813,0.118418574,-0.13254005,0.1102891,0.14712477,0.11876941,-0.132617,0.11016202
161,0.5064300566037736,0.15212798,0.12595892,-0.132298,0.11076516,0.15175319,0.12628186,-0.13235277,0.11066046
162,0.5095755849056604,0.13741302,0.12997437,-0.14828217,0.1368322,0.1370709,0.13030505,-0.14832276,0.13664237
163,0.5127211132075472,0.13350177,0.15410256,-0.17613882,0.15346456,0.13321733,0.15447664,-0.17623973,0.15326786
164,0.515866641509434,0.13898754,0.17155576,-0.17900276,0.21134639,0.13884091,0.17187524,-0.17900139,0.21115488
165,0.5190121698113208,0.18870568,0.23595881,-0.15822273,0.27650636,0.18858302,0.23624253,-0.15823054,0.27631837
166,0.5221576981132076,0.16060841,0.2362504,-0.11304003,0.30004883,0.16059482,0.23657358,-0.11299747,0.3
167,0.5253032264150944,0.15188193,0.2619182,-0.081891894,0.30004883,0.15190566,0.26219022,-0.081787884,0.3
168,0.5284487547169812,0.14955974,0.2465235,-0.06612581,0.30004883,0.14951718,0.24691725,-0.06603235,0.3
169,0.5315942830188679,0.12390208,0.2249422,-0.0917021,0.30004883,0.12395382,0.2253499,-0.091605306,0.3
170,0.5347398113207548,0.09680045,0.27108014,-0.14475834,0.30004883,0.09692192,0.27149653,-0.14456248,0.3
171,0.5378853396226415,0.074283004,0.29465938,-0.18015254,0.30004883,0.074383974,0.2950107,-0.17991412,0.3
172,0.5410308679245284,0.104337454,0.32393384,-0.21654767,0.29223907,0.10438776,0.32429028,-0.21635926,0.2921008
173,0.5441763962264151,0.08938599,0.37479973,-0.24806201,0.26382613,0.08936179,0.37507355,-0.24795324,0.26366204
174,0.5473219245283019,0.08993387,0.41581547,-0.2692927,0.29356635,0.08998501,0.4160695,-0.2691183,0.29337627
175,0.5504674528301887,0.113818884,0.54409444,-0.28876472,0.30004883,0.113859415,0.5442412,-0.2886263,0.3
176,0.5536129811320755,0.1186409,0.64611375,-0.23686033,0.30004883,0.11870873,0.6462424,-0.23669857,0.3
177,0.5567585094339623,0.08700669,0.7288468,-0.20607907,0.30004883,0.08711517,0.7289243,-0.20596683,0.3
178,0.5599040377358491,0.08514655,0.7467363,-0.14441502,0.30004883,0.08518493,0.7468355,-0.14437616,0.3
179,0.5630495660377359,0.0293926,0.762429,-0.19359243,0.30004883,0.029361248,0.7624508,-0.19355512,0.3
180,0.5661950943396227,0.050062537,0.78845763,-0.17591691,0.30004883,0.0499835,0.78855276,-0.17591524,0.3
181,0.5693406226415094,0.08851254,0.777313,-0.17282999,0.30004883,0.08845425,0.77740383,-0.17285216,0.3
182,0.5724861509433963,0.116867304,0.7863481,-0.17464387,0.30004883,0.11681926,0.786378,-0.17461818,0.3
183,0.575631679245283,0.10927272,0.7618226,-0.1489389,0.30004883,0.10904443,0.76179624,-0.14903462,0.3
184,0.5787772075471699,0.056414366,0.7837479,-0.15383643,0.30004883,0.05622816,0.78381324,-0.15393955,0.3
185,0.5819227358490566,0.026699781,0.8298321,-0.14569604,0.30004883,0.026496649,0.82990575,-0.14584827,0.3
186,0.5850682641509434,0.026865602,0.88028026,-0.14107871,0.30004883,0.026667356,0.8803153,-0.1411891,0.3
187,0.5882137924528302,0.018499136,0.89416885,-0.14045715,0.30004883,0.018183708,0.8941525,-0.14064431,0.3
188,0.591359320754717,0.007584095,0.8766365,-0.13962519,0.30004883,0.0069378614,0.8765793,-0.13990045,0.3
189,0.5945048490566038,0.0231781,0.89858603,-0.1411115,0.30004883,0.022538781,0.8984964,-0.14137393,0.3
190,0.5976503773584906,0.018900037,0.89525163,-0.17276877,0.30004883,0.018360853,0.8952904,-0.17305791,0.3
191,0.6007959056603774,0.035274267,0.848289,-0.19445795,0.30004883,0.034727216,0.8482883,-0.19480294,0.3
192,0.6039414339622642,0.032057166,0.85523343,-0.2146616,0.30004883,0.031540394,0.85535336,-0.21499199,0.3
193,0.6070869622641509,0.033022285,0.83413243,-0.23571342,0.30004883,0.032425165,0.8341757,-0.23597628,0.3
194,0.6102324905660378,0.010887861,0.8621392,-0.15236658,0.30004883,0.01010704,0.86231995,-0.152672,0.3
195,0.6133780188679245,-0.008956671,0.90579414,-0.09667802,0.30004883,-0.00989306,0.905748,-0.09705341,0.3
196,0.6165235471698114,0.0148614645,0.92665863,-0.08385223,0.30004883,0.013839006,0.9266486,-0.08420986,0.3
197,0.6196690754716981,0.03838551,0.9108887,-0.08312917,0.30004883,0.037435174,0.91093993,-0.083521426,0.3
198,0.6228146037735849,0.011397362,0.8927568,-0.0648607,0.30004883,0.010510087,0.892925,-0.06515193,0.3
199,0.6259601320754717,-0.088448465,0.91355133,-0.07647133,0.30004883,-0.08926332,0.913687,-0.07674271,0.3
200,0.6291056603773585,-0.118444085,0.9175048,-0.07308233,0.30004883,-0.11893523,0.9177079,-0.07322657,0.3
201,0.6322511886792453,-0.11982924,0.93588185,-0.07365835,0.30004883,-0.120381,0.93604815,-0.07385874,0.3
202,0.6353967169811321,-0.14538383,0.9445338,-0.08146924,0.30004883,-0.1460858,0.94464135,-0.081728935,0.3
203,0.638542245283019,-0.16693544,0.95128846,-0.091854274,0.30004883,-0.16777658,0.9514222,-0.09217906,0.3
204,0.6416877735849057,-0.15348303,0.95539,-0.05389756,0.30004883,-0.15451884,0.9554262,-0.05429113,0.3
205,0.6448333018867924,-0.16953486,0.9903114,-0.06381416,0.30004883,-0.1706878,0.99017763,-0.064208806,0.3
206,0.6479788301886793,-0.15408641,1.0,-0.082140625,0.30004883,-0.15507972,1.0,-0.08250892,0.3
207,0.651124358490566,-0.19416511,0.9999999,-0.081983745,0.30004883,-0.19522333,1.0,-0.08236873,0.3
208,0.6542698867924529,-0.1758343,0.9999999,-0.07777029,0.30004883,-0.1767264,1.0,-0.07808411,0.3
209,0.6574154150943397,-0.15264559,0.9999999,-0.057694376,0.30004883,-0.15365565,0.9999999,-0.058134675,0.3
210,0.6605609433962264,-0.116078734,0.96003556,-0.07769364,0.30004883,-0.116891146,0.96012783,-0.07800108,0.3
211,0.6637064716981133,-0.056797326,0.9681982,-0.07361925,0.30004883,-0.057885647,0.9684038,-0.07401359,0.3
212,0.666852,-0.03703952,0.972455,-0.07181376,0.30004883,-0.038055837,0.9725492,-0.07221717,0.3
213,0.6699975283018869,-0.012569666,0.94356763,-0.06692791,0.30004883,-0.013470352,0.9436939,-0.06721383,0.3
214,0.6731430566037736,-0.007640958,0.94859934,-0.06374687,0.30004883,-0.008451462,0.94870687,-0.06404996,0.3
215,0.6762885849056605,-0.09380019,0.9627607,-0.07587004,0.30004883,-0.09476644,0.9626539,-0.07617414,0.3
216,0.6794341132075472,-0.065390885,0.9476299,-0.05252993,0.30004883,-0.06651217,0.9474416,-0.052977502,0.3
217,0.682579641509434,-0.052668154,0.94949627,-0.04902762,0.30004883,-0.053659678,0.9494512,-0.04945177,0.3
218,0.6857251698113208,-0.11274856,0.94985986,-0.060442984,0.30004883,-0.11363596,0.9498365,-0.060847342,0.3
219,0.6888706981132076,-0.14281124,0.9505818,-0.07330227,0.30004883,-0.14358437,0.95061946,-0.07361877,0.3
220,0.6920162264150944,-0.07264811,0.9695264,-0.06551361,0.30004883,-0.073459566,0.9695959,-0.06571996,0.3
221,0.6951617547169812,-0.021803916,0.9411454,-0.06541026,0.30004883,-0.022791922,0.9411464,-0.06574327,0.3
222,0.6983072830188679,0.009807944,0.9219327,-0.041163087,0.30004883,0.008604288,0.92169905,-0.041611493,0.3
223,0.7014528113207548,-0.029987752,0.91822004,-0.050585747,0.3000489,-0.03108114,0.9180677,-0.051007688,0.30000007
